Name,Link,Posted On,Meeting,Type,Size
APPROVED Minutes RMS 20200107,http://www.ercot.com/content/wcm/key_documents_lists/189614/APPROVED_Minutes_RMS_20200107.docx,"Feb 18, 2020","Jan 07, 2020 - RMS Meeting",docx,75.7 KB
04. Agenda RMS 20200107,http://www.ercot.com/content/wcm/key_documents_lists/189614/04.__Agenda_RMS_20200107.docx,"Dec 31, 2019","Jan 07, 2020 - RMS Meeting",docx,34.8 KB
05. Draft Minutes RMS 20191105,http://www.ercot.com/content/wcm/key_documents_lists/189614/05.__Draft_Minutes_RMS_20191105.docx,"Dec 17, 2019","Jan 07, 2020 - RMS Meeting",docx,73.5 KB
06. TAC Summer 2019 Issues for Discussion final 2   RMS update,http://www.ercot.com/content/wcm/key_documents_lists/189614/06.__TAC_Summer_2019_Issues_for_Discussion_final_2_-_RMS_update.pptx,"Dec 31, 2019","Jan 07, 2020 - RMS Meeting",pptx,83.4 KB
11. ERCOT IT Report January 2020   RMS.PPTX,http://www.ercot.com/content/wcm/key_documents_lists/189614/11.__ERCOT_IT_Report_January_2020_-_RMS.PPTX,"Jan 06, 2020","Jan 07, 2020 - RMS Meeting",pptx,86.2 KB
11. RMS   ERCOT Updates   Retail Projects Update 20200107,http://www.ercot.com/content/wcm/key_documents_lists/189614/11.__RMS_-_ERCOT_Updates_-_Retail_Projects_Update_20200107.pptx,"Jan 07, 2020","Jan 07, 2020 - RMS Meeting",pptx,74.5 KB
12. PWG update to RMS 20200107,http://www.ercot.com/content/wcm/key_documents_lists/189614/12.__PWG_update_to_RMS_20200107.ppt,"Jan 06, 2020","Jan 07, 2020 - RMS Meeting",ppt,602 KB
13. TXSETUpdateToRMSJan2020,http://www.ercot.com/content/wcm/key_documents_lists/189614/13.__TXSETUpdateToRMSJan2020.pptx,"Dec 31, 2019","Jan 07, 2020 - RMS Meeting",pptx,78.4 KB
13. TX SET Change Control Requests RMS 20200107,http://www.ercot.com/content/wcm/key_documents_lists/189614/13.__TX_SET_Change_Control_Requests_RMS_20200107.zip,"Jan 06, 2020","Jan 07, 2020 - RMS Meeting",zip,42.9 KB
14. TDTMS Update 1 7 2020,http://www.ercot.com/content/wcm/key_documents_lists/189614/14.__TDTMS_Update_1_7_2020.pptx,"Jan 07, 2020","Jan 07, 2020 - RMS Meeting",pptx,123.8 KB
15. 01 07 2020 RMTTF UPDATE TO RMS.v2,http://www.ercot.com/content/wcm/key_documents_lists/189614/15.__01-07-2020_RMTTF_UPDATE_TO_RMS_v2.pptx,"Jan 06, 2020","Jan 07, 2020 - RMS Meeting",pptx,50.5 KB
16. 2019 RMS Goals TAC approved 20190327,http://www.ercot.com/content/wcm/key_documents_lists/189614/16.__2019_RMS_Goals_TAC_approved_20190327.docx,"Jan 07, 2020","Jan 07, 2020 - RMS Meeting",docx,28.1 KB
16. CNP System Conversion Updates RMS 202001017,http://www.ercot.com/content/wcm/key_documents_lists/189614/16.__CNP_System_Conversion_Updates_RMS_202001017.zip,"Jan 06, 2020","Jan 07, 2020 - RMS Meeting",zip,1.1 MB
16. SMT 2.0 Implementation Review   RMS 20200107,http://www.ercot.com/content/wcm/key_documents_lists/189614/16.__SMT_2.0_Implementation_Review_-_RMS_20200107.pptx,"Jan 07, 2020","Jan 07, 2020 - RMS Meeting",pptx,2.4 MB
Flight Testing Update to RMS20200107,http://www.ercot.com/content/wcm/key_documents_lists/189614/Flight_Testing_Update_to_RMS20200107.pptx,"Jan 03, 2020","Jan 07, 2020 - RMS Meeting",pptx,82.3 KB
Inadvertent Stats   October 2019,http://www.ercot.com/content/wcm/key_documents_lists/189614/Inadvertent_Stats_-_October_2019.pptx,"Jan 03, 2020","Jan 07, 2020 - RMS Meeting",pptx,233 KB
Meeting Materials RMS 20200107,http://www.ercot.com/content/wcm/key_documents_lists/189614/Meeting_Materials_RMS_20200107.zip,"Jan 07, 2020","Jan 07, 2020 - RMS Meeting",zip,6.5 MB
Market Rules Meeting Materials RMS20200107,http://www.ercot.com/content/wcm/key_documents_lists/189614/Market_Rules_Meeting_Materials_RMS20200107.zip,"Jan 02, 2020","Jan 07, 2020 - RMS Meeting",zip,272 KB
SMT Reports,http://www.ercot.com/content/wcm/key_documents_lists/189614/SMT_Reports.zip,"Dec 19, 2019","Jan 07, 2020 - RMS Meeting",zip,2.1 MB
